ticket_id,created_at,category,channel,priority
1,2024-01-01 13:00:00,billing,email,high
2,2024-01-01 06:00:00,account,email,low
3,2024-01-01 06:00:00,technical,phone,low
4,2024-01-01 02:00:00,billing,phone,medium
5,2024-01-01 18:00:00,billing,email,low
6,2024-01-01 13:00:00,technical,email,high
7,2024-01-01 14:00:00,billing,phone,low
8,2024-01-01 00:00:00,general,email,medium
9,2024-01-01 22:00:00,account,email,low
10,2024-01-01 17:00:00,general,chat,medium
11,2024-01-01 08:00:00,technical,email,medium
12,2024-01-01 07:00:00,billing,email,medium
13,2024-01-01 07:00:00,billing,chat,medium
14,2024-01-01 09:00:00,account,email,high
15,2024-01-01 12:00:00,general,phone,low
16,2024-01-01 11:00:00,general,email,high
17,2024-01-01 09:00:00,account,phone,high
18,2024-01-01 13:00:00,account,phone,low
19,2024-01-01 05:00:00,billing,email,high
20,2024-01-01 09:00:00,technical,chat,low
21,2024-01-01 10:00:00,technical,email,medium
22,2024-01-01 11:00:00,account,chat,high
23,2024-01-01 15:00:00,account,email,medium
24,2024-01-01 07:00:00,account,email,high
25,2024-01-01 12:00:00,account,phone,high
26,2024-01-01 13:00:00,billing,phone,high
27,2024-01-01 01:00:00,technical,phone,high
28,2024-01-01 13:00:00,technical,email,medium
29,2024-01-01 06:00:00,general,chat,high
30,2024-01-01 02:00:00,technical,phone,medium
31,2024-01-01 21:00:00,billing,email,low
32,2024-01-01 22:00:00,account,chat,medium
33,2024-01-01 16:00:00,billing,email,high
34,2024-01-01 09:00:00,account,email,high
35,2024-01-01 03:00:00,general,chat,high
36,2024-01-01 14:00:00,general,email,medium
37,2024-01-01 11:00:00,technical,email,high
38,2024-01-01 04:00:00,account,phone,high
39,2024-01-01 11:00:00,general,phone,medium
40,2024-01-01 01:00:00,account,email,low
41,2024-01-01 20:00:00,general,email,low
42,2024-01-01 08:00:00,billing,email,high
43,2024-01-01 14:00:00,technical,phone,medium
44,2024-01-01 09:00:00,billing,chat,medium
45,2024-01-01 12:00:00,general,phone,medium
46,2024-01-01 12:00:00,billing,phone,high
47,2024-01-01 07:00:00,billing,phone,high
48,2024-01-01 22:00:00,account,phone,medium
49,2024-01-01 15:00:00,billing,chat,medium
50,2024-01-01 21:00:00,technical,chat,low
51,2024-01-01 19:00:00,account,phone,low
52,2024-01-01 13:00:00,billing,phone,medium
53,2024-01-01 20:00:00,technical,email,medium
54,2024-01-01 03:00:00,technical,phone,high
55,2024-01-01 07:00:00,billing,phone,medium
56,2024-01-01 01:00:00,general,email,low
57,2024-01-01 09:00:00,account,chat,low
58,2024-01-01 10:00:00,billing,email,high
59,2024-01-01 08:00:00,billing,email,high
60,2024-01-01 17:00:00,general,email,high
61,2024-01-01 10:00:00,technical,email,high
62,2024-01-01 09:00:00,general,phone,low
63,2024-01-01 12:00:00,account,phone,high
64,2024-01-01 05:00:00,general,email,high
65,2024-01-01 16:00:00,technical,phone,medium
66,2024-01-01 02:00:00,general,phone,high
67,2024-01-01 23:00:00,account,chat,high
68,2024-01-01 15:00:00,general,email,low
69,2024-01-01 07:00:00,technical,email,medium
70,2024-01-01 00:00:00,billing,phone,high
71,2024-01-01 16:00:00,technical,phone,low
72,2024-01-01 14:00:00,billing,email,high
73,2024-01-01 15:00:00,billing,email,low
74,2024-01-01 15:00:00,billing,chat,low
75,2024-01-01 02:00:00,technical,chat,high
76,2024-01-01 10:00:00,general,email,high
77,2024-01-01 04:00:00,technical,phone,high
78,2024-01-01 18:00:00,general,email,medium
79,2024-01-01 13:00:00,general,email,low
80,2024-01-01 09:00:00,billing,phone,medium
81,2024-01-01 02:00:00,account,chat,medium
82,2024-01-01 09:00:00,general,phone,low
83,2024-01-01 09:00:00,billing,email,medium
84,2024-01-01 15:00:00,account,email,low
85,2024-01-01 13:00:00,technical,email,high
86,2024-01-01 19:00:00,general,email,medium
87,2024-01-01 11:00:00,technical,chat,medium
88,2024-01-01 04:00:00,technical,email,medium
89,2024-01-01 14:00:00,billing,email,high
90,2024-01-01 15:00:00,billing,email,low
91,2024-01-01 12:00:00,technical,chat,medium
92,2024-01-01 15:00:00,general,email,medium
93,2024-01-01 11:00:00,billing,email,medium
94,2024-01-01 12:00:00,billing,chat,medium
95,2024-01-01 11:00:00,general,chat,medium
96,2024-01-01 01:00:00,general,email,low
97,2024-01-01 04:00:00,account,email,low
98,2024-01-01 01:00:00,billing,phone,medium
99,2024-01-01 13:00:00,billing,email,high
100,2024-01-01 09:00:00,general,phone,high
101,2024-01-01 12:00:00,technical,email,high
102,2024-01-01 20:00:00,billing,email,low
103,2024-01-01 08:00:00,billing,phone,low
104,2024-01-01 10:00:00,general,email,high
105,2024-01-01 15:00:00,technical,phone,high
106,2024-01-01 08:00:00,billing,phone,low
107,2024-01-01 03:00:00,general,phone,high
108,2024-01-02 19:00:00,account,chat,low
109,2024-01-02 13:00:00,account,email,medium
110,2024-01-02 09:00:00,general,email,high
111,2024-01-02 04:00:00,account,chat,medium
112,2024-01-02 11:00:00,billing,email,medium
113,2024-01-02 08:00:00,billing,email,high
114,2024-01-02 10:00:00,technical,phone,medium
115,2024-01-02 19:00:00,technical,chat,low
116,2024-01-02 09:00:00,technical,chat,medium
117,2024-01-02 04:00:00,technical,chat,high
118,2024-01-02 10:00:00,account,phone,high
119,2024-01-02 20:00:00,billing,phone,high
120,2024-01-02 08:00:00,account,phone,low
121,2024-01-02 13:00:00,technical,chat,low
122,2024-01-02 00:00:00,billing,phone,high
123,2024-01-02 10:00:00,technical,chat,medium
124,2024-01-02 09:00:00,technical,phone,medium
125,2024-01-02 06:00:00,technical,phone,high
126,2024-01-02 12:00:00,account,phone,medium
127,2024-01-02 11:00:00,account,email,low
128,2024-01-02 14:00:00,general,chat,low
129,2024-01-02 08:00:00,billing,chat,low
130,2024-01-02 08:00:00,account,email,high
131,2024-01-02 06:00:00,general,phone,high
132,2024-01-02 08:00:00,general,phone,low
133,2024-01-02 12:00:00,billing,email,high
134,2024-01-02 10:00:00,technical,phone,low
135,2024-01-02 02:00:00,account,phone,high
136,2024-01-02 08:00:00,technical,chat,low
137,2024-01-02 08:00:00,billing,chat,medium
138,2024-01-02 14:00:00,billing,chat,low
139,2024-01-02 14:00:00,technical,phone,low
140,2024-01-02 05:00:00,account,phone,medium
141,2024-01-02 23:00:00,technical,email,low
142,2024-01-02 08:00:00,technical,chat,low
143,2024-01-02 23:00:00,technical,phone,medium
144,2024-01-02 10:00:00,general,phone,high
145,2024-01-02 01:00:00,technical,chat,low
146,2024-01-02 09:00:00,billing,chat,low
147,2024-01-02 13:00:00,general,email,low
148,2024-01-02 14:00:00,general,chat,medium
149,2024-01-02 12:00:00,technical,email,low
150,2024-01-02 11:00:00,technical,chat,medium
151,2024-01-02 12:00:00,account,email,medium
152,2024-01-02 13:00:00,account,phone,high
153,2024-01-02 03:00:00,general,phone,high
154,2024-01-02 10:00:00,account,email,low
155,2024-01-02 08:00:00,account,email,high
156,2024-01-02 16:00:00,account,email,low
157,2024-01-02 11:00:00,general,chat,high
158,2024-01-02 23:00:00,account,chat,high
159,2024-01-02 10:00:00,billing,chat,high
160,2024-01-02 16:00:00,technical,chat,low
161,2024-01-02 15:00:00,general,email,high
162,2024-01-02 06:00:00,technical,chat,medium
163,2024-01-02 12:00:00,billing,phone,medium
164,2024-01-02 14:00:00,account,phone,low
165,2024-01-02 18:00:00,account,phone,medium
166,2024-01-02 09:00:00,general,chat,medium
167,2024-01-02 08:00:00,account,phone,low
168,2024-01-02 14:00:00,technical,chat,high
169,2024-01-02 16:00:00,general,phone,high
170,2024-01-02 09:00:00,technical,phone,high
171,2024-01-02 03:00:00,account,chat,high
172,2024-01-02 21:00:00,billing,chat,medium
173,2024-01-02 10:00:00,technical,chat,high
174,2024-01-02 12:00:00,account,chat,medium
175,2024-01-02 17:00:00,general,phone,low
176,2024-01-02 14:00:00,general,phone,low
177,2024-01-02 15:00:00,billing,chat,high
178,2024-01-02 08:00:00,account,email,low
179,2024-01-02 12:00:00,account,email,low
180,2024-01-02 14:00:00,technical,email,low
181,2024-01-02 08:00:00,technical,chat,high
182,2024-01-02 06:00:00,billing,chat,medium
183,2024-01-02 23:00:00,technical,phone,high
184,2024-01-02 12:00:00,general,chat,medium
185,2024-01-02 08:00:00,technical,email,high
186,2024-01-02 23:00:00,billing,email,medium
187,2024-01-02 22:00:00,technical,email,high
188,2024-01-02 12:00:00,general,email,high
189,2024-01-02 19:00:00,technical,email,medium
190,2024-01-02 07:00:00,technical,chat,high
191,2024-01-02 09:00:00,account,chat,high
192,2024-01-02 14:00:00,general,phone,medium
193,2024-01-02 17:00:00,technical,phone,medium
194,2024-01-02 18:00:00,general,chat,low
195,2024-01-02 10:00:00,account,phone,medium
196,2024-01-02 19:00:00,technical,chat,medium
197,2024-01-02 18:00:00,billing,phone,medium
198,2024-01-02 21:00:00,technical,chat,medium
199,2024-01-02 15:00:00,account,phone,low
200,2024-01-02 14:00:00,technical,email,low
201,2024-01-02 13:00:00,general,phone,low
202,2024-01-02 10:00:00,technical,email,medium
203,2024-01-02 21:00:00,general,chat,high
204,2024-01-02 22:00:00,general,chat,low
205,2024-01-02 09:00:00,technical,chat,medium
206,2024-01-02 09:00:00,billing,phone,medium
207,2024-01-02 11:00:00,general,email,medium
208,2024-01-02 11:00:00,account,chat,medium
209,2024-01-02 23:00:00,technical,chat,low
210,2024-01-02 07:00:00,account,chat,medium
211,2024-01-02 00:00:00,billing,chat,medium
212,2024-01-02 11:00:00,general,phone,low
213,2024-01-02 07:00:00,general,email,high
214,2024-01-02 10:00:00,billing,chat,high
215,2024-01-02 15:00:00,billing,email,high
216,2024-01-02 14:00:00,general,email,medium
217,2024-01-02 09:00:00,technical,email,medium
218,2024-01-02 12:00:00,general,chat,low
219,2024-01-02 12:00:00,general,chat,medium
220,2024-01-02 13:00:00,general,chat,medium
221,2024-01-02 08:00:00,account,email,medium
222,2024-01-02 13:00:00,billing,phone,high
223,2024-01-02 23:00:00,billing,chat,low
224,2024-01-02 11:00:00,billing,phone,low
225,2024-01-02 20:00:00,billing,email,low
226,2024-01-02 11:00:00,billing,phone,low
227,2024-01-02 10:00:00,technical,email,medium
228,2024-01-02 13:00:00,billing,phone,low
229,2024-01-03 07:00:00,general,phone,medium
230,2024-01-03 14:00:00,account,email,high
231,2024-01-03 09:00:00,billing,email,medium
232,2024-01-03 00:00:00,billing,phone,low
233,2024-01-03 13:00:00,account,phone,high
234,2024-01-03 07:00:00,general,chat,high
235,2024-01-03 21:00:00,technical,email,high
236,2024-01-03 22:00:00,technical,email,high
237,2024-01-03 20:00:00,account,phone,high
238,2024-01-03 10:00:00,billing,phone,low
239,2024-01-03 00:00:00,account,phone,medium
240,2024-01-03 21:00:00,account,email,high
241,2024-01-03 11:00:00,account,email,medium
242,2024-01-03 22:00:00,general,email,medium
243,2024-01-03 22:00:00,account,phone,medium
244,2024-01-03 18:00:00,technical,chat,low
245,2024-01-03 09:00:00,account,phone,high
246,2024-01-03 10:00:00,general,chat,medium
247,2024-01-03 18:00:00,account,chat,low
248,2024-01-03 09:00:00,billing,chat,medium
249,2024-01-03 06:00:00,technical,chat,high
250,2024-01-03 12:00:00,general,chat,low
251,2024-01-03 21:00:00,general,chat,low
252,2024-01-03 14:00:00,general,email,medium
253,2024-01-03 12:00:00,account,chat,medium
254,2024-01-03 03:00:00,account,phone,low
255,2024-01-03 13:00:00,technical,email,low
256,2024-01-03 23:00:00,general,chat,high
257,2024-01-03 05:00:00,technical,phone,medium
258,2024-01-03 12:00:00,general,chat,low
259,2024-01-03 19:00:00,billing,chat,low
260,2024-01-03 15:00:00,general,phone,low
261,2024-01-03 14:00:00,account,phone,high
262,2024-01-03 14:00:00,account,chat,high
263,2024-01-03 10:00:00,account,chat,high
264,2024-01-03 09:00:00,account,chat,high
265,2024-01-03 16:00:00,general,chat,medium
266,2024-01-03 16:00:00,account,email,low
267,2024-01-03 18:00:00,technical,chat,low
268,2024-01-03 20:00:00,technical,email,low
269,2024-01-03 12:00:00,general,chat,high
270,2024-01-03 12:00:00,account,email,low
271,2024-01-03 15:00:00,account,email,medium
272,2024-01-03 13:00:00,technical,chat,low
273,2024-01-03 14:00:00,technical,chat,low
274,2024-01-03 15:00:00,billing,phone,medium
275,2024-01-03 19:00:00,technical,phone,medium
276,2024-01-03 09:00:00,billing,email,high
277,2024-01-03 10:00:00,account,chat,medium
278,2024-01-03 03:00:00,general,chat,low
279,2024-01-03 13:00:00,billing,chat,medium
280,2024-01-03 01:00:00,billing,email,medium
281,2024-01-03 11:00:00,general,email,high
282,2024-01-03 12:00:00,billing,email,low
283,2024-01-03 09:00:00,account,email,low
284,2024-01-03 13:00:00,billing,phone,medium
285,2024-01-03 01:00:00,technical,phone,medium
286,2024-01-03 01:00:00,general,chat,medium
287,2024-01-03 16:00:00,general,chat,high
288,2024-01-03 10:00:00,billing,phone,high
289,2024-01-03 05:00:00,billing,email,high
290,2024-01-03 12:00:00,technical,chat,high
291,2024-01-03 15:00:00,billing,email,low
292,2024-01-03 08:00:00,technical,phone,low
293,2024-01-03 13:00:00,technical,email,medium
294,2024-01-03 03:00:00,general,phone,high
295,2024-01-03 02:00:00,general,chat,low
296,2024-01-03 12:00:00,technical,chat,high
297,2024-01-03 12:00:00,account,phone,medium
298,2024-01-03 13:00:00,billing,phone,low
299,2024-01-03 15:00:00,account,phone,high
300,2024-01-03 23:00:00,technical,chat,low
301,2024-01-03 12:00:00,technical,phone,low
302,2024-01-03 09:00:00,account,email,low
303,2024-01-03 15:00:00,billing,email,medium
304,2024-01-03 08:00:00,account,chat,low
